review_id,reviewer,stars,date,text
ChdDSUhNMG9nS0VJQ0FnSUNid09UYW93RRAB,Stacey Shabazz,5 stars,a year ago,"Food was hot & ready in minutes! Very clean professional service Service Take out Meal type Dinner Price per person $20–30 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes Chicken Wings

Service: Take out
Meal type: Dinner
Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5
Recommended dishes: Chicken Wings"
ChZDSUhNMG9nS0VJQ0FnSURyODlQWkhREAE,Alley,5 stars,a year ago,"Food was great & fresh, it wasn’t even a long wait Service Take out Meal type Dinner Price per person $10–20 Food: 5 Service: 5 Atmosphere: 5

Service: Take out
Meal type: Dinner
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5"
ChdDSUhNMG9nS0VJQ0FnSURycmNHbnVRRRAB,Jenn Orellana,5 stars,a year ago,
ChZDSUhNMG9nS0VJQ0FnSUNybzlxUGFBEAE,Cesar Cervantes,5 stars,a year ago,"Service: Take out
Meal type: Other
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5"
ChZDSUhNMG9nS0VJQ0FnSUNydWNlZGV3EAE,Jake Moran,4 stars,a year ago,"Service: Take out
Meal type: Dinner
Price per person: $20–30
Food: 3
Service: 4
Atmosphere: 4"
ChdDSUhNMG9nS0VJQ0FnSUNyMnQtWl93RRAB,ShockeM -,5 stars,a year ago,"Service: Take out
Meal type: Dinner
Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5"
ChZDSUhNMG9nS0VJQ0FnSURMdmFLbGFBEAE,cindy coro,5 stars,a year ago,"Very good pizza Food: 5 Service: 5 Atmosphere: 5

Food: 5
Service: 5
Atmosphere: 5"
ChdDSUhNMG9nS0VJQ0FnSUNlZ0s2dXVRRRAB,Meosha Meosha,2 stars,Edited a year ago,"The food is okay sometimes but cost way too much for the small portions they give you, there's never any parking, an I wish they had better restaurant options. Service Take out Meal type Dinner Price per person $30–50 Food: 4 Service: 3 Atmosphere: 2

Service: Take out
Meal type: Dinner
Price per person: $30–50
Food: 4
Service: 3
Atmosphere: 2"
ChdDSUhNMG9nS0VJQ0FnSURMbnFtdHRnRRAB,New Phone,5 stars,a year ago,"Friendly make every time work out Food: 5 Service: 5 Atmosphere: 5

Food: 5
Service: 5
Atmosphere: 5"
ChZDSUhNMG9nS0VJQ0FnSURMNkxINVlREAE,Janese Santiago,5 stars,a year ago,"Love Vietnamese  delight there are the bomb and taste so good! Service Take out Price per person $20–30 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes

Service: Take out
Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5
Recommended dishes"
ChdDSUhNMG9nS0VJQ0FnSUNEbHIyNzRRRRAB,Brenda Carter,4 stars,Edited a year ago,"Ordered from Pastrami Champ. Food is good.  Strange way of ordering and picking up but it works.  Pastrami is delicious.  Loved that even though online ordering all my specifications and request were followed.  Very filling, not cheap with the portions either. Service Take out Meal type Lunch Price per person $10–20 Food: 5 Service: 5 Atmosphere: 4

Service: Take out
Meal type: Lunch
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 4"
ChZDSUhNMG9nS0VJQ0FnSUNMOWJDVmZBEAE,Janamarie Newton,5 stars,a year ago,"Food: 5
Service: 5
Atmosphere: 5"
ChdDSUhNMG9nS0VJQ0FnSUNMMVkyYjRRRRAB,Lisa Ito,5 stars,a year ago,"I ordered a blueberry lemonade from Figueroa Philly. It was ready quickly, tasted fresh and was a larger size than expected. Worth the $8+ w/tax! Service Take out Meal type Other Food: 5 Service: 5 Atmosphere: 5

Service: Take out
Meal type: Other
Food: 5
Service: 5
Atmosphere: 5"
ChZDSUhNMG9nS0VJQ0FnSUNMcWFLQkNnEAE,Penny,4 stars,a year ago,"Service: Take out
Price per person: $10–20
Food: 4
Service: 4
Atmosphere: 4"
