review_id,reviewer,stars,date,text
ChZDSUhNMG9nS0VJQ0FnTUNncTdMUUhBEAE,Bikram Khyaju,1 star,2025-03-01,"If you want good thali with family while visiting, this is not the place you want to go. You can’t eat rice especially because of the cheap or old taste. Recommend not to go for nepali typical tasty thali. Food: 1 Service: 1 Atmosphere: 1

Food: 1
Service: 1
Atmosphere: 1"
ChdDSUhNMG9nS0VJQ0FnTUNnbmVmcDdBRRAB,Riya Mantri,5 stars,2025-03-01,"Service: Dine in
Meal type: Dinner
Price per person: $10–20
Food: 5
Service: 5
Recommended dishes: Garlic Naan
Recommendation for vegetarians: Highly recommend
Vegetarian offerings: Large vegetarian selection"
ChdDSUhNMG9nS0VJQ0FnTUNnb2EtZzhnRRAB,Eunice,5 stars,2025-02-01,"The food is great! Someone had picked up my order by accident, but the owners and staff were great and quickly made me a new one. Really enjoyed their garlic naan and chicken biryani. Service Take out Food: 5 Service: 5 Atmosphere: 5

Service: Take out
Food: 5
Service: 5
Atmosphere: 5"
ChZDSUhNMG9nS0VJQ0FnTURBeGVESEZREAE,Suman Thapa,5 stars,2025-02-01,
ChZDSUhNMG9nS0VJQ0FnTURBcFBUQUNnEAE,Usman Goni Jabed,4 stars,2025-02-01,"Well, Suddenly I went there for the first time. I liked their Momo item. It’s like 7/10.! I I was in rush, That's why didn’t abled to try different Item. Their price is little bit more than others Indian/Restaurants.(Maybe for the place..-IDK).! Good Luck. Service Dine in Meal type Lunch Price per person $10–20 Food: 4 Service: 5 Atmosphere: 5

Service: Dine in
Meal type: Lunch
Price per person: $10–20
Food: 4
Service: 5
Atmosphere: 5"
ChdDSUhNMG9nS0VJQ0FnTUNBcmZqRzl3RRAB,Aayush Poddar,3 stars,2025-02-01,
ChZDSUhNMG9nS0VJQ0FnSURmNzZHOUxBEAE,Anisha M,5 stars,2025-01-01,"Everything was delicious!! Steam Momo was so good and brought me back to Nepal- that I had to order a second plate!!
Staff were soo nice!!
They definitely heard our Ooos- ahhhs for the food!
I hope to be back here when im back in LA.

I would recommend adding a nice touch of music to uplift the vibes!"
ChdDSUhNMG9nS0VJQ0FnSURmMDhyTHhnRRAB,cristian angheven,5 stars,2025-01-01,"One of the best and most authentic tasting Indian food restaurants around Service Take out Meal type Dinner Price per person $20–30 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes Garlic Naan, Chicken Tikka Vegetarian offerings Not sure Parking space Plenty of parking Parking options Free parking lot, Free street parking

Service: Take out
Meal type: Dinner
Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5
Recommended dishes: Garlic Naan, Chicken Tikka
Vegetarian offerings: Not sure
Parking space: Plenty of parking
Parking options: Free parking lot, Free street parking"
ChdDSUhNMG9nS0VJQ0FnSURmcHJHYnZRRRAB,Hardayal Singh saini,5 stars,2025-01-01,"Had chicken Makhani
Wow it was so delicious
Gonna visit again
My baby loved it Food: 5 Service: 5 Atmosphere: 5 Group size 5-8 people

Food: 5
Service: 5
Atmosphere: 5
Group size: 5-8 people"
ChZDSUhNMG9nS0VJQ0FnSUNmcWQtaVNnEAE,Laxman PDK,1 star,2025-01-01,"Food: 1
Service: 5
Atmosphere: 5"
ChdDSUhNMG9nS0VJQ0FnSUR2MHZEVHdRRRAB,Mathew Villegas,5 stars,2025-01-01,"I absolutely love this place!! Best Tikka Masala and Cheese/ Garlic Naan! Super yummy! Very clean and friendly service! Always feel so welcome and calm when eating here! Love grabbing food here for carry-out and it’s nicely packaged! I always need to stop by when I’m in the area! Service Dine in Meal type Dinner Price per person $20–30 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes Garlic Naan, Vegetable Thali

Service: Dine in
Meal type: Dinner
Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5
Recommended dishes: Garlic Naan, Vegetable Thali"
ChdDSUhNMG9nS0VJQ0FnSURRZ2ZXc2dnRRAB,Donzella Boyce,5 stars,2024-12-01,"Great flavors and vegetarian choices Service Dine in Meal type Dinner Price per person $30–50 Recommended dishes Garlic Naan Recommendation for vegetarians Highly recommend Vegetarian offerings Clearly labeled vegetarian dishes

Service: Dine in
Meal type: Dinner
Price per person: $30–50
Recommended dishes: Garlic Naan
Recommendation for vegetarians: Highly recommend
Vegetarian offerings: Clearly labeled vegetarian dishes"
ChZDSUhNMG9nS0VJQ0FnSUN2eXNfSGV3EAE,Tika Raj Gurung,5 stars,2024-12-01,"I got a chance to be there. I really liked everything. Everyone was very friendly. The food taste really good. I cannot wait to get there when I will be in LA. Meal type Dinner Price per person $50–100

Meal type: Dinner
Price per person: $50–100"
ChZDSUhNMG9nS0VJQ0FnSUQzdDRpeEp3EAE,Habit Glessa,5 stars,2024-12-01,"Very nice people. Family owned restaurant. Very good food too. Really recommend you guys come here. Food: 5 Service: 5

Food: 5
Service: 5"
ChZDSUhNMG9nS0VJQ0FnSUQzbGI2a1hBEAE,Liam McCarthy,5 stars,a year ago,"AN AMAZING HOLE IN THE WALL!!!! one of best indian food that i have ever had, this is a must go if you are in the area… better that the michelin star indian restaurant in santa barbara by a LONGGGG shot, if i could give more than 5 stars i would Service Dine in Meal type Dinner Price per person $10–20 Food: 5 Service: 5 Atmosphere: 5

Service: Dine in
Meal type: Dinner
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5"
ChZDSUhNMG9nS0VJQ0FnSUMzcFBlOU53EAE,Sarjan Rajaure,5 stars,a year ago,"Everything was so delicious ❤️ i liked chicken momo and chicken biryani ❤️ we enjoyed at that time thank you for your services 🙏🏻 Service Dine in Meal type Dinner Price per person $50–100 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes Cheese Naan

Service: Dine in
Meal type: Dinner
Price per person: $50–100
Food: 5
Service: 5
Atmosphere: 5
Recommended dishes: Cheese Naan"
ChZDSUhNMG9nS0VJQ0FnSUMzcEx2VkdREAE,ADARSHA BASNET,5 stars,a year ago,"Service: Dine in
Meal type: Dinner
Price per person: $100+
Food: 5
Service: 5
Atmosphere: 5
Recommended dishes: Garlic Naan"
ChdDSUhNMG9nS0VJQ0FnSUMzcE91bmt3RRAB,Samar Shrestha,5 stars,a year ago,"I love cheese naan and chicken biryani…you guyz can try it out..very delicious,neat and clean…. Service Dine in Meal type Dinner Price per person $100+ Food: 5 Service: 5 Atmosphere: 5 Recommended dishes Cheese Naan

Service: Dine in
Meal type: Dinner
Price per person: $100+
Food: 5
Service: 5
Atmosphere: 5
Recommended dishes: Cheese Naan"
ChdDSUhNMG9nS0VJQ0FnSURBa3Z5bXN3RRAB,Gale Castillo,4 stars,Edited a year ago,"I must admit I was biased based on the location but when I walked in and it was a nice cool atmosphere and the food is absolutely amazing Service Dine in Meal type Dinner Food: 5 Service: 4 Atmosphere: 3

Service: Dine in
Meal type: Dinner
Food: 5
Service: 4
Atmosphere: 3"
